,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"5.
The Third Man
(1949)",(1949),PG,104 min,"Film-Noir, Mystery, Thriller",8.1,"97        
        Metascore","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Votes:
169,798
| Gross:
$0.45M"
1,"7.
Touch of Evil
(1958)",(1958),PG-13,95 min,"Crime, Drama, Film-Noir",8.0,"99        
        Metascore","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.","Votes:
103,655
| Gross:
$2.24M"
2,"15.
Strangers on a Train
(1951)",(1951),PG,101 min,"Crime, Drama, Film-Noir",7.9,"88        
        Metascore",A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,"Votes:
132,487
| Gross:
$7.63M"
